year,season,drama_count,avg_baka_level,top_dramas,summary,id_range_start,id_range_end
2024,autumn,35,3.2,"アンチヒーロー,ジョーカー,ブラックペアン",今期は質の高いサスペンス作品が目立った,1265,1299
2024,summer,32,2.8,"366日,GTO復活,シン・仮面ライダー",アクション・青春ドラマが豊作だった季節,1233,1264
2024,spring,38,3.5,"不適切にもほどがある！,春になったら,新しい王様",歴史的名作「不適切にもほどがある！」が爆誕,1201,1232
2024,winter,35,3.0,"フラジャイル,石子と羽男,アトムの童",医療・法曹・テクノロジーがテーマの重厚作品群,1200,1230
2023,autumn,33,3.8,"silent,アクマゲーム,PICU",社会現象となった「silent」がドラマ界を席巻,1167,1199
2023,summer,30,2.9,"クロサギ,石子と羽男,ミステリと言う勿れ",ミステリー・サスペンス作品の当たり年,1137,1166
2023,spring,36,3.1,"ファーストラヴ,新・信長公記,マイファミリー",心理サスペンスと歴史ドラマが話題を集めた,1101,1136
2023,winter,36,2.7,"イチケイのカラス,新・京都迷宮案内,100万回言えばよかった",恋愛・法廷・推理の王道ジャンルが安定した人気,1100,1135
2022,autumn,31,4.2,"VIVANT,ラストマン,ファイトソング",記録的話題作「VIVANT」が放送界の歴史を変えた,1070,1100
2022,summer,29,3.0,"逃げるは恥だが役に立つ,カムカムエヴリバディ,恋なんて本気でやってどうするの？",朝ドラと恋愛ドラマの復活が印象的だった,1041,1069
2022,spring,34,2.8,"鎌倉殿の13人,元彼の遺言状,インビジブル",大河ドラマと現代サスペンスが充実,1007,1040
2022,winter,34,3.3,"ドクターX,DCU,恋の病と野郎組",医療ドラマの安定感とコメディの新機軸,1001,1035